business_id,hours
wghnIlMb_i5U46HMBGx9ig,Monday
wghnIlMb_i5U46HMBGx9ig,Tuesday
wghnIlMb_i5U46HMBGx9ig,Wednesday
wghnIlMb_i5U46HMBGx9ig,Thursday
wghnIlMb_i5U46HMBGx9ig,Friday
wghnIlMb_i5U46HMBGx9ig,Saturday
wghnIlMb_i5U46HMBGx9ig,Sunday
-4dYswJy7SPcbcERvitmIg,Monday
-4dYswJy7SPcbcERvitmIg,Tuesday
-4dYswJy7SPcbcERvitmIg,Wednesday
-4dYswJy7SPcbcERvitmIg,Thursday
-4dYswJy7SPcbcERvitmIg,Friday
-4dYswJy7SPcbcERvitmIg,Saturday
-4dYswJy7SPcbcERvitmIg,Sunday
sE6jSnvMts_MAn-b4OkMAw,Monday
sE6jSnvMts_MAn-b4OkMAw,Tuesday
sE6jSnvMts_MAn-b4OkMAw,Wednesday
sE6jSnvMts_MAn-b4OkMAw,Thursday
sE6jSnvMts_MAn-b4OkMAw,Friday
sE6jSnvMts_MAn-b4OkMAw,Saturday
nUqrF-h9S7myCcvNDecOvw,Monday
nUqrF-h9S7myCcvNDecOvw,Tuesday
nUqrF-h9S7myCcvNDecOvw,Wednesday
nUqrF-h9S7myCcvNDecOvw,Thursday
nUqrF-h9S7myCcvNDecOvw,Friday
4dVrWc4Nhuw9apfk9BWEcA,Monday
4dVrWc4Nhuw9apfk9BWEcA,Tuesday
4dVrWc4Nhuw9apfk9BWEcA,Wednesday
4dVrWc4Nhuw9apfk9BWEcA,Thursday
4dVrWc4Nhuw9apfk9BWEcA,Friday
4dVrWc4Nhuw9apfk9BWEcA,Saturday
4dVrWc4Nhuw9apfk9BWEcA,Sunday
9C2rpb56aQvW0ViZHK9sPw,Monday
9C2rpb56aQvW0ViZHK9sPw,Tuesday
9C2rpb56aQvW0ViZHK9sPw,Wednesday
9C2rpb56aQvW0ViZHK9sPw,Thursday
9C2rpb56aQvW0ViZHK9sPw,Friday
9C2rpb56aQvW0ViZHK9sPw,Saturday
9C2rpb56aQvW0ViZHK9sPw,Sunday
2oxrOO3c9_mQmqM9kwEm9Q,Monday
2oxrOO3c9_mQmqM9kwEm9Q,Tuesday
2oxrOO3c9_mQmqM9kwEm9Q,Wednesday
2oxrOO3c9_mQmqM9kwEm9Q,Thursday
2oxrOO3c9_mQmqM9kwEm9Q,Friday
2oxrOO3c9_mQmqM9kwEm9Q,Saturday
2oxrOO3c9_mQmqM9kwEm9Q,Sunday
QZU7TcrztBb3tXaPbVCkXg,Monday
QZU7TcrztBb3tXaPbVCkXg,Tuesday
QZU7TcrztBb3tXaPbVCkXg,Wednesday
QZU7TcrztBb3tXaPbVCkXg,Thursday
QZU7TcrztBb3tXaPbVCkXg,Friday
QZU7TcrztBb3tXaPbVCkXg,Saturday
QZU7TcrztBb3tXaPbVCkXg,Sunday
jkY8aotwcAlSHCgoZrF49w,
QU-X2Pijwd4SitfYXoZWMQ,Monday
QU-X2Pijwd4SitfYXoZWMQ,Tuesday
QU-X2Pijwd4SitfYXoZWMQ,Wednesday
QU-X2Pijwd4SitfYXoZWMQ,Thursday
QU-X2Pijwd4SitfYXoZWMQ,Friday
kR4tXc1fLeR2QNu8cMZrEg,Monday
kR4tXc1fLeR2QNu8cMZrEg,Tuesday
kR4tXc1fLeR2QNu8cMZrEg,Wednesday
kR4tXc1fLeR2QNu8cMZrEg,Thursday
kR4tXc1fLeR2QNu8cMZrEg,Friday
TEP-73fGvgSUmtQFaOTA_g,
SGigkw0zqh4TTXferq3XGA,Monday
SGigkw0zqh4TTXferq3XGA,Tuesday
SGigkw0zqh4TTXferq3XGA,Wednesday
SGigkw0zqh4TTXferq3XGA,Thursday
SGigkw0zqh4TTXferq3XGA,Friday
SGigkw0zqh4TTXferq3XGA,Saturday
aNXw3PkXVt8ANwLyCfcmpg,Monday
aNXw3PkXVt8ANwLyCfcmpg,Tuesday
aNXw3PkXVt8ANwLyCfcmpg,Wednesday
aNXw3PkXVt8ANwLyCfcmpg,Thursday
aNXw3PkXVt8ANwLyCfcmpg,Friday
aNXw3PkXVt8ANwLyCfcmpg,Saturday
aNXw3PkXVt8ANwLyCfcmpg,Sunday
nIn0fMn-SEjLdJ44SG4CKw,Monday
nIn0fMn-SEjLdJ44SG4CKw,Tuesday
nIn0fMn-SEjLdJ44SG4CKw,Wednesday
