,business_id,IdAtributos
0,wghnIlMb_i5U46HMBGx9ig,0
1,nUqrF-h9S7myCcvNDecOvw,0
2,9C2rpb56aQvW0ViZHK9sPw,0
3,2oxrOO3c9_mQmqM9kwEm9Q,0
4,QZU7TcrztBb3tXaPbVCkXg,0
5,aNXw3PkXVt8ANwLyCfcmpg,0
6,-DXNvQLhKwunHzg8OjkwXA,0
7,NNcqCDV6PHhDmKY8fO6S9g,0
8,46_2e1hnQ4csLrYnhn6bkw,0
9,kxvOUehCtJAL2nYKkeiR-w,0
10,bdfZdB2MTXlT6-RBjSIpQg,0
11,PW5eZM5RAQEhy3wgovChhQ,0
12,IbndcMURguByburM72o3SA,0
13,O0YHVrUtxbsEhQ4qaWkVaw,0
14,-AjSXsdPtBhWl0kY1-QsoA,0
15,gl9APAes1BYYt_8UsDVsPg,0
16,4FaYG9qKDpDyr68bKmaIEw,0
17,97yrCvZXdnMhmCtM8qmKFw,0
18,-ujBP1Dw0j1-Ffaz97-LXQ,0
19,GhBM8Aqfeeel8rW4S88iAQ,0
20,K5ffo0hkwhG33BDNQrJF6A,0
21,_HcAoG6Jj_XTj4-XNEbo6Q,0
22,lj-E32x9_FA7GmUrBGBEWg,0
23,-rTJCKclkU_ZnoQb4oKa9w,0
24,CBGqxzHew6PveH_YdKLYpw,0
25,cEG1r9aRMJwmRQVkh7eiJg,0
26,WMI3BjDby0U-IF6NnN0SXA,0
27,0oogOBGXNj39Wnl2SKoe0w,0
28,u-QBVccU0cRK1pehKL4n0g,0
29,Pb5agnsD9EdCl6yuZp2jJA,0
30,LTTRaIO-p4zjvXtw9zm1Wg,0
31,fJNSx1WOo77TmP7Bl26w_g,0
32,JOvNunKJlWhwJRwLmUR9ZA,0
33,3VKE0_-KhU_qMYHxcyVcDg,0
34,SLHmMe2b4NhMW1CSzRJsYA,0
35,2y_CdkxEOJEJGyJApfCYpA,0
36,cLlBDZxYJ1dt1JgMuZnXew,0
37,9MHe5jAym2d8VhT_NbCRyw,0
38,OMaIc59ULw6fuYtUsCH4dg,0
39,OpXFFEDRXj-JakazHvxY9Q,0
40,qejPFPUKiIXvHJ4BirgLUw,0
41,i5_36USdvJ8InY-z6KCH7w,0
42,D_sIoGDRaLJv0DAIc46MMA,0
43,zBHAoHU-SD7wECkKpTGImg,0
44,WT4XIJbg_KrZ2zjt-rQg5g,0
45,gu9H6XoryCn07BfPsSdeSw,0
46,76x9L8ZBoF4skcNP8wx4nw,0
47,grjFEAN9gXOKQFEta4yBJg,0
48,YKpZ2Ml0NZoYZ5eb3r_Cdg,0
49,50egwkdO2tvM0DnTGsEvkg,0
50,TghRoAMx43V-9l7mH-SENg,0
51,CB7nXPd5h_YLzcgfDo2DCg,0
52,WrFvJEtLk6JJkOpuolLWYA,0
53,Bt7NBqA31uOI4H_hvasLLg,0
54,V4lqQdll3_TAEtkrHDYbAA,0
55,0z-unL2UdJn40PYiou2bnQ,0
56,Tl24lMv2aCuLs4u45NquJQ,0
57,wuv3jE5Lc23TcfC70qu-Mg,0
58,LCS2sJH5S2kFquIL_FIqAg,0
59,7kko-9WTh53VZ_PmrffrSQ,0
60,aq26RY75PlTNsviW6wUC9A,0
61,tzVLTQNUtiCAxUZmEuF0vQ,0
62,jHtwxz_PQu38fhtXVI0luA,0
63,Jr90GZ4uthyYp7407eyutQ,0
64,0l0R_1x2RC8pEwP-OG6UxA,0
65,uAbUh-mivr8AFoEbk-gANA,0
66,tXfeVYKJq-bGPx1sjHOMHA,0
67,M2m_SM9GpIbct2a_hOGzag,0
68,qQmdJFMWoDe2T2lbacBE8g,0
69,CxoRg-ZcXdpqXWmUJliYog,0
70,la1k3Qq-cUBZrTXyElb8QA,0
71,IZmCSGeXLCB-Y2UvJrvr-A,0
72,MN3rGpUtdzYKFBMVypERRQ,0
73,3JwRFu53hgEisf_SRBPIew,0
74,ZirLsNFR6xzeqS8jsswswg,0
75,u1cRkWe26zYgyIfLp149Cg,0
76,4ulvTVp4_eXb3XVMrXfRyQ,0
77,P6fQZruWG886KpegSaNddg,0
78,n2HP8fenpzI7eg6TRDj4lw,0
79,2gTnSpYBmg_5JubGpCtSQQ,0
80,d91RHJeZE-I7TaeQdBp6MQ,0
81,Yll7kUVI7j0gArBMQKpEaQ,0
82,jg75navc2li2ba6FflRp6g,0
83,zOXvoQVFElBEhz__YT6VNw,0
84,QAK2LPx1YK9Knq70D1oPVQ,0
85,Ack8b4HTC4FQQkOgy27IGw,0
86,mLNSOU8Ki0Fm09xd6ZKkcA,0
87,3RtMd3VZ21WL5auDr6Jp9A,0
88,-7GjicSH_rM8JeZGCXGcUg,0
89,ZxnLTULBWGs8cC6xtY6yrQ,0
90,wunF8CkjYkARgCbGwYRm3A,0
91,rDuopLmZ2X0uvwZpkqHGcw,0
92,c3eWB489arZI26M8n4gAvw,0
93,_Xo-JzgxbMaDi5cvlfHpwg,0
94,JFUTJaE3REmCne1hnWm-OQ,0
95,rSe2uJ54OG3ytfTBIzW8Nw,0
96,Gf1EboxqdJ9SPsVJur93Cw,0
97,P8QLcGZZOPgl9w_3ARBKiQ,0
98,Dwwt8KwB0iyf86aE4p4vSQ,0
99,ATYVsHtyiQnknwFD1ZX4bQ,0
100,uvAP4JuwHzZeZJ_aZyNLrg,0
101,nOfAXsjKrAPZndeoymGzBA,0
102,8vd8Im3W9U7LpzRvEfXceQ,0
103,3wogQmKw729tKKWaVbZvbg,0
104,HpTsMT3mLBQLfREWQvJi2A,0
105,YGXFqi5rXB38lKvIYEzn9Q,0
106,V-Dm95vQpkdaeSzehDEgpA,0
107,oi1VVRgFT9j3H6FnJ0qAnA,0
108,NaWlhEuy-ZYvUEeKd41Kqg,0
109,fSx8zLSP_LBtIm_mfQRbTQ,0
110,Iur3GHkwb4mJfrPhy_-48g,0
111,o-e2U0oDb1TUdUAvoCVSaQ,0
112,UYOZc-cC932HirQyMmqhfA,0
113,GGR4s8VPvTND6mGUfiGQSg,0
114,Jc6MxMyCLp4DMfN4C1t1aQ,0
115,6rF6HSwFlReJa5RdcnjBzA,0
116,5RzJ2bjU8bLSaN5SuiUpYA,0
117,9Pvwx_IfQgQL4ykmlGV6yA,0
118,gUQJcicYwQc3GDsYcYEVBg,0
119,9ouyziwYpSvJzlLFpukSgA,0
